experiment|btor2-time|btor2-size|functional-time|functional-size|relational-time|relational-size
count:buggy.2.2|1.26|396|54.27|24783|80.01|33288
count:buggy.2.3|0.60|396|112.05|34539|111.30|46446
count:buggy.2.4|0.00|396|97.40|44295|146.15|59604
count:buggy.3.2|0.83|547|105.60|50284|166.88|67704
count:buggy.3.3|1.62|547|187.94|70939|228.75|95595
count:buggy.3.4|1.80|546|131.82|91594|188.95|123486
count:buggy.4.2|1.92|664|111.57|76363|171.93|105858
count:buggy.4.3|0.00|663|160.78|108439|277.84|150426
count:buggy.4.4|2.07|664|208.48|140515|313.55|194994
