experiment|btor2-time|btor2-size|functional-time|functional-size|relational-time|relational-size
count:cas.2.2|0.00|424|70.08|46453|98.68|63470
count:cas.2.3|1.33|424|96.43|66785|67.35|91316
count:cas.2.4|0.16|424|120.35|87117|87.93|119162
count:cas.3.2|0.51|589|101.87|157645|156.29|216105
count:cas.3.3|0.51|589|146.43|231508|231.17|317460
count:cas.3.4|0.51|588|189.60|305371|304.00|418815
count:cas.4.2|0.60|720|256.03|374775|391.63|528078
count:cas.4.3|0.61|719|369.43|555315|607.02|782598
count:cas.4.4|0.62|720|498.63|735855|774.74|1037118
